VDR Name,Account,Date,Memo,Document Number/ID,Transaction,Type,Total Amount (Transaction Currency)
VDR-0106 Orion Labs,
,Accrued Purchases,3/24/2020,IR-0040 - PO 032320 CYTO,957,Bill #957,VendBill,-1254.6,
,Accrued Purchases,3/10/2020,INV 948 - PO 030620MOL,IR-0039,Item Receipt #IR-0039,ItemRcpt,-112.07,
,Accrued Purchases,3/11/2020,IR-0039 - PO 030620 MOL,948,Bill #948,VendBill,-112.07,
,Accrued Purchases,3/25/2020,032320CYTO,IR-0041,Item Receipt #IR-0041,ItemRcpt,-1254.6,
,Accrued Purchases,5/12/2020,PO 051220MOL,1016,Bill #1016,VendBill,-112.07,
,Accrued Purchases,5/22/2020,051220MOL,IR-0179,Item Receipt #IR-0179,ItemRcpt,-112.07,
,Accrued Purchases,7/1/2020,PO 062220FLOW,1072,Bill #1072,VendBill,-125.6,
,Accrued Purchases,6/16/2020,061120MOL,IR-0237,Item Receipt #IR-0237,ItemRcpt,-99.6,
,Accrued Purchases,6/30/2020,062220Flow without PO,IR-0302,Item Receipt #IR-0302,ItemRcpt,-108.16,
,Accrued Purchases,6/15/2020,PO 061220MOL,1053,Bill #1053,VendBill,-211.67,
,Accrued Purchases,6/16/2020,061120MOL,IR-0273,Item Receipt #IR-0273,ItemRcpt,-112.07,
,Accrued Purchases,6/16/2020,061120Cyto,IR-0275,Item Receipt #IR-0275,ItemRcpt,-752.76,
,Accrued Purchases,6/12/2020,PO 061120CYTO,1054,Bill #1054,VendBill,-752.76,
,Accrued Purchases,7/23/2020,PO 071720MOL,1101,Bill #1101,VendBill,-99.6,
,Accrued Purchases,7/24/2020,071720MOL,IR-0348,Item Receipt #IR-0348,ItemRcpt,-99.6,
,Accrued Purchases,8/14/2020,080620Cyto,IR-0484,Item Receipt #IR-0484,ItemRcpt,-1254.6,
,Accrued Purchases,8/21/2020,PO 081920MOL,1122,Bill #1122,VendBill,-211.67,
,Accrued Purchases,8/13/2020,PO 080620CYTO,1113,Bill #1113,VendBill,-1254.6,
,Accrued Purchases,8/31/2020,081920MOL,IR-0475,Item Receipt #IR-0475,ItemRcpt,-211.67,
